Индекс,Исходное,Норм. вручную,Норм. sklearn,Разница,Масшт. вручную,Масшт. sklearn,Разница
82,239.000000,0.014753,0.014753,0.000000,-0.329583,-0.329583,0.000000
83,423.000000,0.026111,0.026111,0.000000,-0.095260,-0.095260,0.000000
84,396.000000,0.024444,0.024444,0.000000,-0.129645,-0.129645,0.000000
85,335.000000,0.020679,0.020679,0.000000,-0.207328,-0.207328,0.000000
86,835.000000,0.051543,0.051543,0.000000,0.429418,0.429418,0.000000
87,378.000000,0.023333,0.023333,0.000000,-0.152567,-0.152567,0.000000
88,151.000000,0.009321,0.009321,0.000000,-0.441650,-0.441650,0.000000
89,1281.000000,0.079074,0.079074,0.000000,0.997396,0.997396,0.000000
90,251.000000,0.015494,0.015494,0.000000,-0.314301,-0.314301,0.000000
91,633.000000,0.039074,0.039074,0.000000,0.172173,0.172173,0.000000
92,392.000000,0.024198,0.024198,0.000000,-0.134739,-0.134739,0.000000
93,1286.000000,0.079383,0.079383,0.000000,1.003763,1.003763,0.000000
94,267.000000,0.016481,0.016481,0.000000,-0.293925,-0.293925,0.000000
95,1156.000000,0.071358,0.071358,0.000000,0.838209,0.838209,0.000000
96,346.000000,0.021358,0.021358,0.000000,-0.193319,-0.193319,0.000000
97,1991.000000,0.122901,0.122901,0.000000,1.901575,1.901575,0.000000
98,636.000000,0.039259,0.039259,0.000000,0.175994,0.175994,0.000000
99,623.000000,0.038457,0.038457,0.000000,0.159438,0.159438,0.000000
100,310.000000,0.019136,0.019136,0.000000,-0.239165,-0.239165,0.000000
101,822.000000,0.050741,0.050741,0.000000,0.412863,0.412863,0.000000
102,641.000000,0.039568,0.039568,0.000000,0.182361,0.182361,0.000000
103,579.000000,0.035741,0.035741,0.000000,0.103404,0.103404,0.000000
104,81.000000,0.005000,0.005000,0.000000,-0.530795,-0.530795,0.000000
105,470.000000,0.029012,0.029012,0.000000,-0.035406,-0.035406,0.000000
106,98.000000,0.006049,0.006049,0.000000,-0.509145,-0.509145,0.000000
107,2486.000000,0.153457,0.153457,0.000000,2.531954,2.531954,0.000000
108,679.000000,0.041914,0.041914,0.000000,0.230754,0.230754,0.000000
109,1016.000000,0.062716,0.062716,0.000000,0.659920,0.659920,0.000000
110,84.000000,0.005185,0.005185,0.000000,-0.526974,-0.526974,0.000000
111,407.000000,0.025123,0.025123,0.000000,-0.115636,-0.115636,0.000000
112,141.000000,0.008704,0.008704,0.000000,-0.454385,-0.454385,0.000000
113,109.000000,0.006728,0.006728,0.000000,-0.495137,-0.495137,0.000000
114,80.000000,0.004938,0.004938,0.000000,-0.532068,-0.532068,0.000000
115,60.000000,0.003704,0.003704,0.000000,-0.557538,-0.557538,0.000000
116,772.000000,0.047654,0.047654,0.000000,0.349188,0.349188,0.000000
117,762.000000,0.047037,0.047037,0.000000,0.336454,0.336454,0.000000
118,1413.000000,0.087222,0.087222,0.000000,1.165497,1.165497,0.000000
119,463.000000,0.028580,0.028580,0.000000,-0.044321,-0.044321,0.000000
120,14.000000,0.000864,0.000864,0.000000,-0.616119,-0.616119,0.000000
121,670.000000,0.041358,0.041358,0.000000,0.219292,0.219292,0.000000
122,329.000000,0.020309,0.020309,0.000000,-0.214969,-0.214969,0.000000
123,193.000000,0.011914,0.011914,0.000000,-0.388163,-0.388163,0.000000
124,405.000000,0.025000,0.025000,0.000000,-0.118183,-0.118183,0.000000
125,402.000000,0.024815,0.024815,0.000000,-0.122004,-0.122004,0.000000
126,728.000000,0.044938,0.044938,0.000000,0.293155,0.293155,0.000000
127,232.000000,0.014321,0.014321,0.000000,-0.338497,-0.338497,0.000000
128,469.000000,0.028951,0.028951,0.000000,-0.036680,-0.036680,0.000000
129,571.000000,0.035247,0.035247,0.000000,0.093217,0.093217,0.000000
130,145.000000,0.008951,0.008951,0.000000,-0.449291,-0.449291,0.000000
131,409.000000,0.025247,0.025247,0.000000,-0.113089,-0.113089,0.000000
132,98.000000,0.006049,0.006049,0.000000,-0.509145,-0.509145,0.000000
133,255.000000,0.015741,0.015741,0.000000,-0.309207,-0.309207,0.000000
